id1,id2,matching_probability
832,1081,1.0
833,1124,1.0
834,1084,1.0
835,1097,1.0
836,1122,1.0
838,1076,1.0
839,1116,0.8
842,1111,1.0
843,1079,1.0
844,1125,1.0
845,1108,0.8
846,1063,0.9
847,1115,1.0
848,1104,0.8
849,625,1.0
850,1020,1.0
851,1052,1.0
854,994,1.0
857,1035,0.9
858,1026,1.0
859,1024,1.0
86,579,1.0
860,1048,1.0
861,1015,1.0
862,995,0.9
863,1041,1.0
864,1004,1.0
865,1034,1.0
866,1012,1.0
867,1018,1.0
868,1029,1.0
869,1002,1.0
870,1025,1.0
871,1037,1.0
872,1013,1.0
873,1039,1.0
874,1056,0.9
875,1023,1.0
876,1060,1.0
877,1010,1.0
878,641,1.0
879,744,1.0
88,747,1.0
880,758,1.0
881,737,0.8
883,777,1.0
884,775,1.0
885,632,1.0
886,851,1.0
887,759,0.9
888,783,1.0
889,768,1.0
89,616,1.0
890,734,1.0
891,771,1.0
892,778,0.9
893,746,1.0
895,752,1.0
896,756,1.0
897,764,1.0
898,786,1.0
899,753,0.9
9,2525,1.0
90,598,0.9
900,780,0.9
901,845,1.0
902,849,0.9
903,852,1.0
904,856,1.0
905,569,1.0
906,850,1.0
907,482,0.9
908,495,1.0
91,691,0.9
910,640,1.0
911,568,1.0
912,553,1.0
913,556,1.0
914,524,1.0
915,549,1.0
917,533,0.9
918,831,0.9
92,728,1.0
920,571,1.0
921,523,1.0
922,511,1.0
923,530,1.0
924,554,1.0
925,567,1.0
926,555,1.0
927,483,1.0
928,518,1.0
929,790,1.0
93,577,1.0
930,491,1.0
931,548,1.0
932,685,1.0
933,552,1.0
934,813,1.0
935,648,1.0
936,654,1.0
938,799,1.0
939,824,1.0
94,954,1.0
940,686,1.0
941,798,1.0
942,637,1.0
943,826,0.9
945,804,1.0
946,812,0.9
947,797,1.0
948,670,1.0
949,658,1.0
950,665,1.0
951,820,1.0
952,832,1.0
953,853,1.0
954,830,1.0
955,807,1.0
956,684,1.0
957,660,1.0
958,805,1.0
959,825,1.0
969,241,0.8
97,723,1.0
970,261,1.0
973,346,1.0
974,288,1.0
976,336,1.0
98,613,1.0
99,873,1.0
996,323,0.9
999,318,1.0
